CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor
1548369,393144,468235,1,"University of California, Berkeley",95457486.0,-1,1965,4,2,0,-1,1,0,19,1937.0,0.24675324675324675,1883,24.454545454545453,5,0.06493506493506493,1966.0,5,654,2,3.25,155.64285714285714,1965.0,28.0,3,0
1548609,771575,687297,1,Iowa State University,173911158.0,-1,1976,11,5,0,1,0,0,40,1978.0,1.2121212121212122,553,16.757575757575758,82,2.484848484848485,1976.0,1,0,1,1.0,0.0,1976.0,-2.0,1,0
1548611,771576,687297,1,Iowa State University,173911158.0,-1,1977,11,5,0,1,0,0,40,1978.0,1.2121212121212122,553,16.757575757575758,82,2.484848484848485,-1.0,0,0,0,0.0,0.0,1977.0,-1.0,2,0
1548613,771577,687297,1,Iowa State University,173911158.0,-1,1979,11,6,0,1,0,0,40,1978.0,1.2121212121212122,553,16.757575757575758,82,2.484848484848485,1978.0,6,72,15,4.076923076923077,107.12820512820512,1978.0,1.0,3,0
1548617,771579,687297,1,Iowa State University,173911158.0,-1,1980,11,6,0,1,0,0,40,1978.0,1.2121212121212122,553,16.757575757575758,82,2.484848484848485,1977.0,9,154,16,4.128205128205129,87.35897435897436,1977.0,2.0,5,0
1548619,771580,687297,1,Iowa State University,173911158.0,-1,1983,11,5,0,1,0,0,40,1978.0,1.2121212121212122,553,16.757575757575758,82,2.484848484848485,1983.0,1,0,1,1.0,0.0,1983.0,5.0,6,0
1548621,771581,687297,1,Iowa State University,173911158.0,-1,1992,11,3,0,-1,0,0,40,1978.0,1.2121212121212122,553,16.757575757575758,82,2.484848484848485,1992.0,1,0,1,1.0,0.0,1992.0,14.0,6,0
1548623,771582,687297,1,Iowa State University,173911158.0,-1,1992,11,3,0,-1,0,0,40,1978.0,1.2121212121212122,553,16.757575757575758,82,2.484848484848485,1990.0,21,304,43,8.5,169.59375,1990.0,14.0,6,2
1548625,771583,687297,1,Iowa State University,173911158.0,-1,1980,11,6,0,1,0,0,40,1978.0,1.2121212121212122,553,16.757575757575758,82,2.484848484848485,1980.0,1,0,1,1.0,0.0,1980.0,2.0,5,0
1548979,771692,24208,1,Universität Regensburg,,1981,1985,4,1,0,0,0,0,316,1975.0,6.723404255319149,10156,216.08510638297872,205,4.361702127659575,-1.0,0,0,0,0.0,0.0,1985.0,10.0,22,0
1549239,771755,771756,1,Univ. Nice Sophia Antipolis,,-1,1992,17,7,18,1,1,1,143,1978.0,3.3255813953488373,7634,177.53488372093022,192,4.465116279069767,1990.0,20,487,12,22.8125,2040.25,1990.0,14.0,12,6
