CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,S_Or_DP
65116,15244,4000,0,Technical University of Munich (TUM),,-1,1971,1,1,0,0,0,0,0,-1.0,0.0,0,0.0,0,0.0,1972.0,19,1955,23,13.04,1794.42,1971.0,-1.0,0,0,1
65128,8459,2444,1,Stanford University,97018004.0,1980,1984,13,2,9,-1,1,1,207,1964.0,3.7636363636363637,409373,7443.145454545454,97,1.7636363636363637,1982.0,16,2958,5,7.775,450.7,1982.0,20.0,48,0,1
65158,7788,1122,1,University of Pennsylvania,79576946.0,1976,1981,3,1,1,0,1,1,34,1971.0,0.9444444444444444,7900,219.44444444444446,69,1.9166666666666667,1982.0,6,1960,8,1.2307692307692308,139.89743589743588,1981.0,10.0,12,0,1
65160,7788,55013,2,"Institute of Anatomy, University of Lausanne, Switzerland",,1981,1982,2,1,1,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,1982.0,6,1960,8,1.2307692307692308,139.89743589743588,1982.0,-1.0,0,0,1
65254,55071,53738,1,"Brain and Spine institute (ICM), Paris",,1987,1992,16,4,1,1,1,1,118,1977.0,2.6222222222222222,2874,63.86666666666667,113,2.5111111111111097,1982.0,4,92,4,2.333333333333333,101.05128205128206,1982.0,15.0,15,2,1
65262,55082,8203,1,University of Virginia,51556381.0,1988,1994,18,6,5,1,1,1,22,1993.0,0.88,939,37.56,31,1.24,1987.0,11,724,9,1.8571428571428568,105.42857142857143,1987.0,1.0,1,0,0
65263,55082,55083,0,University of Virginia,51556381.0,1985,1988,3,3,5,-1,1,1,153,1975.0,3.2553191489361697,11341,241.2978723404256,139,2.9574468085106385,1987.0,11,724,9,1.8571428571428568,105.42857142857143,1987.0,13.0,44,10,0
65264,55082,4007,0,University of Virginia,51556381.0,1983,1987,17,3,5,-1,1,1,97,1978.0,2.2045454545454546,8300,188.63636363636363,84,1.9090909090909087,1987.0,11,724,9,1.8571428571428568,105.42857142857143,1987.0,9.0,17,0,0
65265,51233,55083,0,University of Virginia,51556381.0,1985,1987,3,3,2,-1,1,1,153,1975.0,3.2553191489361697,11341,241.2978723404256,139,2.9574468085106385,1987.0,6,277,9,2.090909090909091,122.1818181818182,1987.0,12.0,38,5,1
65266,55084,55083,1,University of Virginia,51556381.0,1983,1987,3,3,0,-1,0,0,153,1975.0,3.2553191489361697,11341,241.2978723404256,139,2.9574468085106385,1987.0,10,533,12,1.6666666666666667,88.83333333333331,1987.0,12.0,38,7,0
