CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,S_Or_DP
1337991,703041,82346,1,Harvard University,136199984.0,-1,1943,25,5,0,-1,0,0,120,1927.0,2.0689655172413794,590,10.172413793103447,72,1.2413793103448276,-1.0,0,0,0,0.0,0.0,1943.0,16.0,15,0,0
1338108,703077,93600,1,Princeton University,20089843.0,-1,1959,4,3,0,-1,0,0,33,1950.0,0.6226415094339622,683,12.88679245283019,44,0.8301886792452831,1973.0,26,149,52,0.935483870967742,4.903225806451613,1959.0,9.0,7,0,1
1338109,459997,83902,1,University of Toronto,185261750.0,-1,1987,1,1,2,0,1,1,422,1970.0,8.115384615384615,31301,601.9423076923077,467,8.98076923076923,1870.0,1,9,2,1.3881578947368418,40.243421052631575,1870.0,17.0,38,3,1
1338199,703099,229297,1,"University of Wisconsin, Madison",135310074.0,-1,1967,10,6,0,1,0,0,231,1951.0,3.347826086956522,12083,175.11594202898547,91,1.318840579710145,1966.0,15,224,7,1.7058823529411764,82.27450980392156,1966.0,16.0,10,0,1
1338213,703103,128306,1,"University of California, Berkeley",95457486.0,-1,1962,6,3,0,-1,0,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1962.0,-1.0,0,0,0
1338216,79467,703104,1,Albert Ludwigs University Freiburg,,1988,1992,1,1,0,0,1,0,0,-1.0,0.0,0,0.0,0,0.0,1989.0,5,134,24,3.636363636363636,63.09090909090909,1989.0,-1.0,0,0,1
1338217,79467,24593,1,,,1988,1992,4,2,0,-1,1,0,333,1968.0,6.66,63119,1262.38,332,6.64,1989.0,5,134,24,3.636363636363636,63.09090909090909,1989.0,24.0,87,3,1
1338226,75796,47656,1,University of Pennsylvania,79576946.0,1969,1973,5,1,0,0,1,0,0,-1.0,0.0,0,0.0,0,0.0,1972.0,9,514,6,5.791666666666668,93.83333333333331,1972.0,-1.0,0,0,1
1338259,703115,55907,1,University of Chicago,40347166.0,-1,1953,5,5,0,-1,0,0,63,1953.0,2.25,3553,126.89285714285714,36,1.2857142857142858,1951.0,1,5,3,1.0,5.0,1951.0,0.0,10,0,0
124197,55907,57433,0,University of Chicago,40347166.0,1940,1942,3,1,5,0,1,1,139,1935.0,2.0144927536231885,7299,105.78260869565216,143,2.072463768115942,1953.0,24,1745,15,2.25,126.89285714285714,1942.0,7.0,14,0,1
1338322,703128,128164,1,Princeton University,20089843.0,-1,1952,16,7,1,1,1,1,165,1936.0,2.2916666666666665,18024,250.33333333333331,108,1.5,1968.0,1,170,1,1.0,170.0,1952.0,16.0,26,0,0
1338332,703129,468191,1,University of Rochester,5388228.0,-1,1972,8,4,0,-1,0,0,17,1977.0,0.37777777777777777,446,9.911111111111113,35,0.7777777777777778,-1.0,0,0,0,0.0,0.0,1972.0,-5.0,0,0,0
1338354,556740,190372,1,Massachusetts Institute of Technology,63966007.0,-1,1963,3,1,8,0,1,1,21,1947.0,0.5121951219512195,893,21.78048780487805,12,0.2926829268292683,1964.0,5,428,2,1.3703703703703705,32.574074074074076,1963.0,16.0,1,0,1
