CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,TotalCitationOfMentee
1722772,688403,738327,2,National  Institutes of Health,1299303238.0,1984,1986,1,1,1,0,1,1,240,1971.0,4.8,23631,472.62,340,6.8,1986.0,23,4243,60,3.5,661.0277777777778,1986.0,15.0,33,8,23797
1724664,351267,9103,2,National Cancer Institute,,1984,1987,3,2,0,-1,0,0,133,1976.0,2.891304347826087,31825,691.8478260869565,301,6.543478260869565,1982.0,9,1120,9,5.275,955.575,1982.0,11.0,24,4,38223
1725200,822753,63913,2,Mayo Clinic Jacksonville,,1990,1992,2,1,0,0,0,0,186,1977.0,4.133333333333334,10050,223.33333333333334,458,10.177777777777777,-1.0,0,0,0,0.0,0.0,1992.0,15.0,24,0,0
1725562,822891,28214,2,Abo Akademi University,130217899.0,1990,1993,29,3,0,-1,0,0,388,1975.0,8.25531914893617,97212,2068.340425531915,732,15.574468085106384,1986.0,20,1920,34,4.138888888888889,615.1111111111111,1986.0,18.0,66,8,22144
1725564,822892,28214,2,Yamaguchi University Graduate School of Medicine,,1991,1993,29,3,0,-1,0,0,388,1975.0,8.25531914893617,97212,2068.340425531915,732,15.574468085106384,1984.0,12,588,48,4.842105263157895,402.8157894736842,1984.0,18.0,66,4,15307
1725566,822893,28214,2,Abbott Laboratories,3019813218.0,1998,1993,29,3,0,-1,0,0,388,1975.0,8.25531914893617,97212,2068.340425531915,732,15.574468085106384,1990.0,14,3300,17,2.193548387096774,155.19354838709677,1990.0,18.0,66,13,4811
1726316,608,205,2,University of Oxford,40120149.0,1991,1994,28,7,1,1,1,1,348,1961.0,5.8,48125,802.0833333333334,441,7.35,1993.0,6,527,7,2.72,128.08,1993.0,33.0,58,0,3202
1726346,823168,205,1,University of Oxford,40120149.0,1991,1995,28,7,0,1,0,0,348,1961.0,5.8,48125,802.0833333333334,441,7.35,1997.0,13,4017,17,2.0,587.0,1995.0,34.0,49,0,4109
1726383,823176,205,2,University of Cambridge,241749.0,1973,1977,28,4,0,1,0,0,348,1961.0,5.8,48125,802.0833333333334,441,7.35,-1.0,0,0,0,0.0,0.0,1977.0,16.0,59,0,0
1726872,311509,19572,1,"University of Wisconsin, Madison",135310074.0,-1,1982,19,1,0,0,0,0,103,1981.0,3.3225806451612905,1418,45.74193548387097,109,3.5161290322580645,1983.0,1,9,2,0.7352941176470589,31.08823529411765,1982.0,1.0,2,1,1057
