CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor
36344,25745,11369,1,University of Amsterdam,887064364.0,-1,1992,3,2,6,-1,1,1,173,1975.0,3.760869565217391,44536,968.1739130434784,266,5.782608695652174,1987.0,19,1266,19,5.628571428571429,594.0285714285715,1987.0,17.0,28,2
36349,25688,21435,2,University of Bern,118564535.0,1987,1988,3,1,10,-1,1,1,59,1974.0,1.3111111111111111,5683,126.28888888888888,74,1.6444444444444444,1958.0,2,10,4,2.296875,146.109375,1958.0,14.0,7,1
36365,25757,9210,1,"University of California, Los Angeles",161318765.0,1986,1991,1,1,3,0,1,1,320,1981.0,8.888888888888891,102957,2859.916666666666,636,17.666666666666668,1989.0,25,710,69,4.583333333333333,122.91666666666669,1989.0,10.0,77,5
36366,25757,7969,1,"University of California, Los Angeles",161318765.0,1986,1991,20,1,3,0,1,1,1344,1970.0,25.84615384615385,185129,3560.1730769230767,2164,41.615384615384606,1989.0,25,710,69,4.583333333333333,122.91666666666669,1989.0,21.0,18,1
36367,25757,8812,0,"University of California, Irvine",204250578.0,1983,1985,50,1,3,-1,1,1,543,1979.0,12.627906976744184,62884,1462.4186046511627,897,20.86046511627907,1989.0,25,710,69,4.583333333333333,122.91666666666669,1985.0,6.0,13,0
36441,703,25825,1,"University of Maryland, College Park",66946132.0,1976,1980,1,1,0,-1,1,0,3,1974.0,0.3333333333333333,378,42.0,2,0.2222222222222222,1974.0,2,12,1,4.791666666666667,363.0625,1974.0,6.0,1,1
36468,5143,5408,1,Columbia University,78577930.0,1981,1988,5,1,5,-1,1,1,18,1959.0,0.5806451612903226,4103,132.3548387096774,17,0.5483870967741935,1982.0,1,165,4,1.45,156.725,1982.0,29.0,1,0
36475,5143,25845,2,Roche Institute of Molecular Biology,141589445.0,1988,1991,3,3,5,-1,1,1,62,1983.0,2.583333333333333,22683,945.125,92,3.8333333333333335,1982.0,1,165,4,1.45,156.725,1982.0,8.0,35,5
36481,18313,25845,2,Roche Institute of Molecular Biology,141589445.0,1989,1991,3,3,0,-1,1,0,62,1983.0,2.583333333333333,22683,945.125,92,3.8333333333333335,1998.0,17,2275,52,2.2916666666666665,256.4583333333333,1991.0,8.0,35,0
36484,25850,25851,1,University of Sussex,162608824.0,1988,1991,2,2,3,-1,1,1,34,1899.0,0.3469387755102041,5518,56.3061224489796,23,0.2346938775510204,1990.0,14,913,13,4.75,259.15625,1990.0,92.0,9,0
36485,25850,2819,2,University of Edinburgh,98677209.0,1992,1994,17,1,4,0,1,1,89,1972.0,1.8541666666666667,2912,60.66666666666666,96,2.0,1990.0,14,913,13,4.75,259.15625,1990.0,22.0,7,3
36486,25850,388,2,Baylor College of Medicine,181547552.0,1994,1995,20,2,4,-1,1,1,147,1991.0,4.741935483870968,29540,952.9032258064516,242,7.806451612903228,1990.0,14,913,13,4.75,259.15625,1990.0,4.0,3,0
36519,25876,25875,2,Johns Hopkins University School of Medicine,2799853436.0,1989,1991,26,3,1,-1,1,1,190,1982.0,4.75,45148,1128.7,364,9.1,1982.0,10,431,36,35.125,2918.675,1982.0,9.0,13,3
36521,25878,25875,1,Johns Hopkins University School of Medicine,2799853436.0,1989,1994,26,4,0,-1,1,0,190,1982.0,4.75,45148,1128.7,364,9.1,1989.0,3,997,6,6.303030303030303,733.9090909090909,1989.0,12.0,15,3
36531,25887,25875,1,Johns Hopkins University School of Medicine,2799853436.0,1987,1993,26,3,0,-1,0,0,190,1982.0,4.75,45148,1128.7,364,9.1,-1.0,0,0,0,0.0,0.0,1993.0,11.0,14,0
36551,5401,417,2,Duke University,170897317.0,1974,1977,8,3,3,1,1,1,66,1963.0,2.129032258064516,9062,292.32258064516134,64,2.064516129032258,1983.0,17,2663,10,2.8620689655172415,410.5862068965517,1977.0,14.0,15,0
36568,25915,1446,2,University of Toronto,185261750.0,1987,1988,57,8,11,1,1,1,419,1976.0,9.108695652173912,575150,12503.260869565218,242,5.260869565217392,1985.0,22,24257,24,10.702702702702704,6943.4324324324325,1985.0,12.0,58,0
36591,25931,2822,1,University of Amsterdam,887064364.0,-1,1981,11,2,0,-1,1,0,117,1953.0,1.828125,23563,368.171875,80,1.25,1980.0,4,132,4,1.8717948717948716,123.97435897435898,1980.0,28.0,3,0
36592,25931,26352,1,University of Amsterdam,887064364.0,-1,1981,22,5,0,1,1,0,333,1961.0,5.55,50219,836.9833333333332,140,2.333333333333333,1980.0,4,132,4,1.8717948717948716,123.97435897435898,1980.0,20.0,31,0
36625,25951,17702,1,University of Texas at Dallas,162577319.0,1988,1993,5,2,0,-1,0,0,0,-1.0,0.0,0,0.0,0,0.0,1992.0,4,88,7,2.3666666666666667,48.33333333333334,1992.0,-1.0,0,0
36730,26031,8464,1,"University of British Columbia, Vancouver",141945490.0,1987,1990,13,1,1,-1,1,1,297,1984.0,7.815789473684211,21143,556.3947368421053,249,6.552631578947367,1986.0,8,1365,3,3.2571428571428567,491.28571428571433,1986.0,6.0,25,5
36738,6112,2219,2,Tufts University,121934306.0,1986,1990,37,2,0,-1,1,0,402,1972.0,8.04,116421,2328.42,824,16.48,1983.0,6,2042,9,1.7027027027027026,230.027027027027,1983.0,18.0,43,8
36835,26098,9091,1,"Indiana University, Bloomington",592451.0,1988,1993,8,2,1,-1,1,1,130,1980.0,3.0952380952380962,9917,236.1190476190476,197,4.690476190476192,1991.0,5,809,7,2.3225806451612905,323.1290322580645,1991.0,13.0,18,3
36892,26137,17933,1,Carnegie Mellon University,74973139.0,-1,1985,6,2,2,-1,1,1,85,1973.0,1.8478260869565213,49492,1075.9130434782608,58,1.2608695652173914,1981.0,3,172,3,1.0,100.53658536585364,1981.0,12.0,6,0
36893,26137,21934,1,Carnegie Mellon University,74973139.0,-1,1985,13,1,2,-1,1,1,213,1971.0,4.176470588235294,64260,1260.0,138,2.7058823529411766,1981.0,3,172,3,1.0,100.53658536585364,1981.0,14.0,8,0
